key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
41,"ceremony chocobo",0,"ceremony chocobos",0,0,1,0,0,"Summon forth your ceremony chocobo, large enough to bear both you and your special someone.","Raised by Ishgard's master breeders for beauty and purity of stock, its snow white feathers are natural and, though fully developed, as soft as down. Temperament-wise, the bird is remarkably docile and one of few breeds
who will allow dual
riders upon its back.","Don't stand on ceremony,
tick-tock, tick-tock!
  - Helmhart",571,2,False,90,-1,24,9.6,9,3.2,9,3.2,3.2,12.56,1.57,3,12.56,30,15,30,8,8,3.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,62,"SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,True,65537,65537,65537,65537,27,4431,1,100,0,0,1,0,0,False,False
42,"Sleipnir",0,"Sleipnir",0,0,1,0,1,"Summon forth Sleipnir─undying steed of the elder primal Odin. His coat is as dark as void, while his eyes glow a sanguine red.","Blessed by the elder primal himself, Sleipnir will forever remain loyal to those who have proven themselves worthy. In addition to being fearless in battle, the dark steed is also able to manipulate his corporeal form to
accommodate any
rider, large or small.","If it hadn't been
for that horse...
   - Erik",866,5,False,90,-1,24,9.6,9,1,9,3.2,3.2,12.56,1.57,3,12.56,30,15,30,8,8,3.2,1,0.9,1.05,1,0.6,0.6,0.9,0.85,1.1,1.1,1.2,0.82,292,"SE_Bt_Etc_SleipnilWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_SleipnilBye",20,10,True,0,1,0,0,28,4428,202,100,0,0,0,0,0,False,False
43,"Boreas",0,"Boreas",0,0,1,0,1,"Summon forth Boreas─the legendary steed favored of the primal Shiva. His breath is said to beget the winter's storms.","Legend states that the Lady of Frost, Shiva, birthed this magicked steed from a unicorn offered by her followers in sacrifice.","Nay is but a hoofbeat
away from neigh!
  - Uma Bugyo",818,2,False,90,-1,24,9.6,9,3.2,9,3.2,3.2,12.56,1.57,3,12.56,30,15,30,8,8,3.2,1,0.9,1.05,1,0.6,0.6,0.9,0.85,1.1,1.1,1.2,0.82,293,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,True,0,1,0,0,29,4429,200,65,0,0,0,0,0,False,False
44,"parade chocobo",0,"parade chocobos",0,0,1,0,0,"Summon forth your parade chocobo who, by the looks of him, has not marched in many parades.","Originally purchased by the Adventurers' Guild for use in festival parades, this portly steed quickly wore out his welcome by devouring a moon's worth of fodder in a single turn of the sun. Unable to pay the price of upkeep, the guild
passed the reigns to some-
one more “commendable.”"," I'll be at the parade with
whoever else I can drag along.
  - Botulf",965,2,False,90,-1,24,9.6,9,3.2,9,3.2,3.2,12.56,1.57,3,12.56,30,15,30,8,8,3.2,1,1,1,1,1,1,1,1,1,1,1,1,193,"SE_Bt_Etc_DebuCyokoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_DebuCyokoboBye",20,10,False,0,1,0,0,30,4430,2,100,0,0,0,0,0,False,False
45,"",0,"",0,0,0,0,0,"","","",0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","",0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
46,"adamantoise",0,"adamantoises",0,1,1,0,0,"Summon forth your adamantoise mount. He (?) is actually quite faster than he appears.","Native to the Near Eastern island of Thavnair, adamantoises were long thought to be impossible to domesticate. However, through the efforts of Ul'dahn zoologists, a handful of the colossal scalekin have been successfully
trained to accept
riders.","M-Me? Perfectly fine!
S-Solid as an adamantoise!
  - Cocobezi",987,2,False,90,-1,24,9.6,9,3.2,9,3.2,3.2,12.56,1.57,3,12.56,30,15,30,8,8,3.2,0.5,0.45,0.52,0.5,0.3,0.3,0.45,0.42,0.55,0.55,0.6,0.41,121,"SE_Bt_Etc_AdamanWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_AdamanBye",5,3,True,0,1,0,0,31,4434,14,65,0,0,0,0,0,False,False
47,"Kirin",0,"Kirin",0,0,1,0,1,"Summon forth Kirin, Far Eastern king of the beasts.","Ask any man in Othard who rules the realm of beasts, and you will receive the same answer─Kirin. It is believed that the lion-like creature has walked the eastern lands for over a thousand years and
will only answer the
call of a hero it has
deemed worthy.","Even folk in the Far East
'eard that tale, I reckon.
  - Trachraet",958,2,False,90,-1,24,9.6,9,3.2,9,3.2,3.2,12.56,1.57,3,12.56,30,15,30,8,8,3.2,1,0.9,1.05,1,0.6,0.6,0.9,0.85,1.1,1.1,1.2,0.82,121,"SE_Bt_Etc_KirinWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_KirinBye",20,10,True,0,1,0,0,32,4432,200,100,0,0,0,0,0,False,False
48,"logistics system",0,"logistics systems",0,0,1,0,0,"Call into battle your Allagan logistics system. For your safety and the safety of those around you, all weaponry has been disabled.","One of the automated system drones deployed by the Allagans to maintain and protect their strongholds. After being unearthed by the Sons of Saint Coinach, the mechanical sphere was modified by Nero tol Scavea
into a personal
transportation device.","Her report also mentions a
violent encounter with a
sentry heavily augmented
by Allagan technology...
  - Rammbroes",1029,2,False,90,-1,24,9.6,9,3.2,9,3.2,3.2,12.56,1.57,3,12.56,30,15,30,8,8,3.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,121,"SE_Bt_Etc_DaragabWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_DaragabBye",0,10,True,0,1,0,0,33,4433,3,100,12,4,0,3506,0,True,True
49,"Fenrir",0,"Fenrir",0,0,1,0,1,"Summon forth a purebred Abalathian hoarhound named after its pack's legendary leader.","Following the rise of Ishgard, hoarhounds all but disappeared from the Coerthas highlands. However, the shift in climate caused by the Calamity has seen the legendary beasts descend from their mountain dens once more.","A good hound keeps
his maw shut.
   - Latata",1026,2,False,90,-1,24,9.6,9,3.2,9,3.2,3.2,12.56,1.57,3,12.56,30,15,30,8,8,3.2,0.5,0.45,0.52,0.5,0.3,0.3,0.45,0.42,0.55,0.55,0.6,0.41,121,"SE_Bt_Etc_FenrirWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_FenrirBye",20,10,True,0,1,0,0,34,4435,14,65,0,6,0,0,0,False,False
50,"",0,"",0,0,0,0,0,"","","",0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","",0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
51,"",0,"",0,0,1,0,0,"","","",311,5,False,90,-1,24,9.6,9,1,9,3.2,3.2,12.56,1.57,3,12.56,30,15,30,8,8,3.2,1,0.9,2.1,1,0.6,0.6,0.9,0.85,1.1,1.1,1.2,0.82,121,"","","",0,0,True,0,1,0,0,-1,0,0,100,0,0,0,0,0,False,False
52,"",0,"",0,0,0,0,0,"","","",0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","",0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
53,"",0,"",0,0,1,0,0,"","","",0,0,False,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,"","","",10,10,True,0,0,0,0,-1,0,0,100,0,0,0,0,0,False,False
54,"",0,"",0,0,1,0,0,"","","",0,0,False,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,"","","",10,10,True,0,0,0,0,-1,0,0,100,0,0,0,0,0,False,False
55,"",0,"",0,0,1,0,0,"","","",0,0,False,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,"","","",10,10,True,0,0,0,0,-1,0,0,100,0,0,0,0,0,False,False
56,"",0,"",0,0,1,0,0,"","","",0,0,False,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,"","","",10,10,True,0,0,0,0,-1,0,0,100,0,0,0,0,0,False,False
57,"",0,"",0,0,1,0,0,"","","",0,0,False,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,"","","",10,10,True,0,0,0,0,-1,0,0,100,0,0,0,0,0,False,False
58,"",0,"",0,0,1,0,0,"","","",0,0,False,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,"","","",10,10,True,0,0,0,0,-1,0,0,100,0,0,0,0,0,False,False
59,"",0,"",0,0,1,0,0,"","","",0,0,False,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,"","","",10,10,True,0,0,0,0,-1,0,0,100,0,0,0,0,0,False,False
60,"",0,"",0,0,1,0,0,"","","",0,0,False,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,"","","",10,10,True,0,0,0,0,-1,0,0,100,0,0,0,0,0,False,False
61,"",0,"",0,0,1,0,0,"","","",0,0,False,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,"","","",10,10,True,0,0,0,0,-1,0,0,100,0,0,0,0,0,False,False
62,"",0,"",0,0,1,0,0,"","","",0,0,False,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,"","","",10,10,True,0,0,0,0,-1,0,0,100,0,0,0,0,0,False,False
63,"",0,"",0,0,1,0,0,"","","",0,0,False,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,"","","",10,10,True,0,0,0,0,-1,0,0,100,0,0,0,0,0,False,False
64,"",0,"",0,0,1,0,0,"","","",0,0,False,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,"","","",10,10,True,0,0,0,0,-1,0,0,100,0,0,0,0,0,False,False
65,"",0,"",0,0,1,0,0,"","","",0,0,False,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,"","","",10,10,True,0,0,0,0,-1,0,0,100,0,0,0,0,0,False,False
66,"",0,"",0,0,1,0,0,"","","",0,0,False,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,"","","",10,10,True,0,0,0,0,-1,0,0,100,0,0,0,0,0,False,False
67,"",0,"",0,0,1,0,0,"","","",0,0,False,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,"","","",10,10,True,0,0,0,0,-1,0,0,100,0,0,0,0,0,False,False
68,"",0,"",0,0,1,0,0,"","","",0,0,False,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,"","","",10,10,True,0,0,0,0,-1,0,0,100,0,0,0,0,0,False,False
69,"",0,"",0,0,1,0,0,"","","",0,0,False,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,"","","",10,10,True,0,0,0,0,-1,0,0,100,0,0,0,0,0,False,False
70,"",0,"",0,0,1,0,0,"","","",0,0,False,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,"","","",10,10,True,0,0,0,0,-1,0,0,100,0,0,0,0,0,False,False
71,"",0,"",0,0,1,0,0,"","","",0,0,False,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,"","","",10,10,True,0,0,0,0,-1,0,0,100,0,0,0,0,0,False,False
72,"",0,"",0,0,1,0,0,"","","",0,0,False,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,"","","",10,10,True,0,0,0,0,-1,0,0,100,0,0,0,0,0,False,False
73,"",0,"",0,0,1,0,0,"","","",0,0,False,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,"","","",10,10,True,0,0,0,0,-1,0,0,100,0,0,0,0,0,False,False
74,"",0,"",0,0,1,0,0,"","","",0,0,False,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,"","","",10,10,True,0,0,0,0,-1,0,0,100,0,0,0,0,0,False,False
75,"",0,"",0,0,1,0,0,"","","",0,0,False,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,"","","",10,10,True,0,0,0,0,-1,0,0,100,0,0,0,0,0,False,False
76,"",0,"",0,0,1,0,0,"","","",0,0,False,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,"","","",10,10,True,0,0,0,0,-1,0,0,100,0,0,0,0,0,False,False
77,"",0,"",0,0,1,0,0,"","","",0,0,False,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,"","","",10,10,True,0,0,0,0,-1,0,0,100,0,0,0,0,0,False,False
78,"",0,"",0,0,1,0,0,"","","",0,0,False,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,"","","",10,10,True,0,0,0,0,-1,0,0,100,0,0,0,0,0,False,False
79,"",0,"",0,0,1,0,0,"","","",0,0,False,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,"","","",10,10,True,0,0,0,0,-1,0,0,100,0,0,0,0,0,False,False
80,"",0,"",0,0,1,0,0,"","","",0,0,False,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,"","","",10,10,True,0,0,0,0,-1,0,0,100,0,0,0,0,0,False,False
